Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения,В ТВ-сюжетах,В интернет-СМИ,В печатных СМИ,Кол-во новостей,Кол-во просмотров сайта,Кол-во публикаций в соц. сетях,Кол-во печатных статей,Кол-во электронных статей,Общее кол-во упоминаний,Финансирование,Число подписчиков сообщества,Число уникальных пользователей сайта,Финансирование за прошлый год,"Финансирование, тенденция",Кол-во просмотров сайта за прошлый год,"Кол-во просмотров сайта, тенденция",Число подписчиков сообщества за прошлый год,"Число подписчиков сообщества, тенденция",Кол-во человек на одну организацию,Уровень загруженности организаций в регионе
Новосибирская область,СФО,752674.0,210534642.0,1108300.0,23800261.0,3772888.0,7438000.0,174415193.0,3942.0,16.0,1688.0,2536.0,0.0,-298.0,1272840.0,1860.0,652450.0,85900.0,2214.0,530416.0,0.06764362791859424,4135.135641557462,2.026820709348736,0.1309179664522385,Средний,Низкий,8.0,56.0,0.0,51.0,26298.0,9066.0,0.0,47.0,64.0,857330.0,8879.0,7925.0,780320.0190922479,+9.0%,24385.436405254324,+7.3%,8465.263750436952,+4.7%,322.8919330289193,Средний
Омская область,СФО,501550.0,142850170.0,0.0,2921718.0,2682576.0,727830.0,136518046.0,6851.0,6.0,5076.0,2244.0,0.0,-475.0,980669.0,8672.0,187336.0,335114.0,1396.0,448151.0,0.07821106569634134,3641.6510055890417,2.301477692785959,0.15128114749253715,Средний,Низкий,893.0,7292.0,675.0,40.0,198400.0,16438.0,8.0,196.0,8860.0,503535.0,93112.0,41469.0,458304.78440462257,+9.0%,183971.04657397742,+7.3%,88773.24454676038,+4.7%,143.14246095460516,Низкий
Оренбургская область,ПФО,510964.0,28105296.5,549787.0,3766298.0,831848.0,721282.0,22236081.5,3227.0,4.0,1122.0,996.0,0.0,1105.0,1408645.0,6860.0,278636.0,179456.0,196.0,943497.0,0.11027352220508685,498.80020338694277,16.802676697733943,0.21910906350898476,Средний,Низкий,28.0,174.0,375.0,315.0,19606.0,3602.0,13.0,565.0,577.0,3478375.0,14624.0,10306.0,3165928.693047016,+9.0%,18180.122677063515,+7.3%,13942.56302358261,+4.7%,436.5184381778742,Средний
Орловская область,ЦФО,182877.0,27387438.0,294076.0,3364305.0,1989138.0,208650.0,21531269.0,1510.0,16.0,420.0,156.0,0.0,918.0,453780.0,352.0,216588.0,105408.0,28.0,131404.0,0.09925359667973556,1508.8499933888668,5.554679783276975,0.19502244184514073,Средний,Низкий,48.0,750.0,147.0,37.0,134567.0,1758.0,62.0,43.0,945.0,503535.0,19662.0,35000.0,458304.78440462257,+9.0%,124780.40234032468,+7.3%,18745.806494097462,+4.7%,300.5165562913907,Низкий
Пензенская область,ПФО,320755.0,27821882.0,8000.0,5978800.0,6860500.0,800.0,14973782.0,3009.0,16.0,1500.0,1196.0,0.0,297.0,498443.0,1032.0,152630.0,129342.0,38.0,215401.0,0.06215871927171829,1395.439498598636,6.0061210555466555,0.12304402778293291,Средний,Низкий,1932.0,9674.0,1412.0,5.0,716932.0,5160.0,14.0,9.0,13018.0,0.0,17976.0,158268.0,0.0,+9.0%,664791.9877135825,+7.3%,17138.369318375342,+4.7%,165.65071452309738,Низкий
Пермский край,ПФО,687834.0,1688066700.0,1010494.0,35397594.0,39133178.0,2583847.0,1609941587.0,1260.0,2.0,186.0,308.0,0.0,764.0,1511947.0,7008.0,581152.0,428036.0,914.0,494837.0,0.08792510983754802,27912.13415549619,0.3002700727785229,0.13602064277078524,Средний,Низкий,43.0,890.0,202.0,49.0,533753.0,3715.0,0.0,29.0,1135.0,3371199.0,10806.0,206203.0,3068379.816457802,+9.0%,494934.96986895247,+7.3%,10302.471008809744,+4.7%,1199.9579365079364,Высокий
Приморский край,ДФО,516738.0,117627187.5,3424035.0,31209876.0,5402041.0,2020894.0,75570341.5,2688.5,14.0,1100.0,2488.0,0.0,-913.5,612906.0,554.0,238624.0,64578.0,24.0,309126.0,0.04744423673118679,4797.929352135564,1.7468324227292475,0.0923794338589918,Низкий,Низкий,140.0,1945.0,155.0,37.0,180970.0,567.0,12.0,43.0,2240.0,36000.0,4630.0,28850.0,32766.286829250028,+9.0%,167808.67085933816,+7.3%,4414.255114824089,+4.7%,227.9732192672494,Низкий
Псковская область,СЗФО,157421.0,24188142.0,2809743.0,3415530.0,1785024.0,150000.0,16027845.0,563.5,4.0,346.0,22.0,0.0,191.5,212100.0,1360.0,98896.0,48146.0,268.0,63430.0,0.05389369906175161,2851.0304101838756,2.939701563454806,0.1058469014672405,Низкий,Низкий,23.0,341.0,18.0,37.0,3607.0,2860.0,153.0,43.0,382.0,2586500.0,7169.0,1618.0,2354166.6912182,+9.0%,3344.6752267758898,+7.3%,6834.944906733023,+4.7%,376.3975155279503,Средний
Республика Адыгея,ЮФО,129469.0,30454930.0,549787.0,4265337.0,3032065.0,214850.0,22392891.0,575.0,14.0,8.0,6.0,0.0,547.0,392902.0,2951.0,54830.0,114584.0,178.0,220359.0,0.12138874943036557,1937.81973621921,4.325055833432094,0.23614962878896154,Высокий,Низкий,11.0,42.0,7.0,0.0,27314.0,19.0,2.0,0.0,60.0,503535.0,881.0,16087.0,458304.78440462257,+9.0%,25327.546200209774,+7.3%,839.9478954989249,+4.7%,683.3078260869565,Средний
Республика Алтай,СФО,61511.0,11574825.0,1109344.0,2834100.0,2162000.0,54200.0,5415181.0,356.0,0.0,140.0,456.0,0.0,-240.0,101820.0,248.0,12200.0,79098.0,10.0,10264.0,0.06621254734925461,2841.9821744254564,2.9490609158972294,0.12951716513264025,Средний,Низкий,150.0,1100.0,250.0,2.0,50243.0,834.0,200.0,113.0,1500.0,350000.0,5005.0,7010.0,318561.1219510419,+9.0%,46588.99845270336,+7.3%,4771.781177039863,+4.7%,286.0112359550562,Низкий
