Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий
Тюменская область,УФО,442892.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.13933003982912312,6917.048409805121,1.2116697842383417,0.2499215711063523,Высокий,Низкий
Удмуртская Республика,ПФО,391208.0,92893301.0,0.0,16408305.0,6360475.0,150000.0,69974521.0,422.0,4.0,354.0,72.0,0.0,-8.0,487595.0,440.0,170000.0,51308.0,220.0,265627.0,0.04985531993210773,4762.830884237944,1.7597052589062754,0.09696350561007697,Низкий,Низкий
Ульяновская область,ПФО,306209.0,56498443.5,5901000.0,947790.0,10100000.0,243875.0,39305778.5,685.5,26.0,190.0,144.0,0.0,325.5,264099.0,19242.0,18884.0,56420.0,150.0,169403.0,0.03449918193129529,5348.225807367692,1.5670951182967745,0.06751210288656297,Низкий,Низкий
Хабаровский край,ДФО,378310.0,70846458.0,0.0,28050336.0,5108277.0,3654061.0,34033784.0,3530.0,14.0,1028.0,780.0,0.0,1708.0,389025.0,84.0,105622.0,68972.0,18.0,214329.0,0.04113293330866221,4552.8216695585115,1.8408756508768462,0.08046787460305624,Низкий,Низкий
Ханты-Мансийский автономный округ - Югра,УФО,482516.0,225334098.0,880500.0,29100706.0,3983256.0,2341190.0,189028446.0,3154.0,18.0,1366.0,1202.0,0.0,568.0,997867.0,4156.0,313842.0,254520.0,2846.0,422503.0,0.0827219822762354,5645.394075563177,1.4846046958092365,0.1567119925298053,Средний,Низкий
Челябинская область,УФО,917875.0,294762081.0,3712317.0,9294827.0,4152909.0,223803.0,277378225.0,1801.0,10.0,804.0,392.0,0.0,595.0,1240642.0,2092.0,658126.0,49166.0,352.0,530906.0,0.05406583685142312,5939.708654873848,1.4110420293758905,0.10414136721166373,Низкий,Низкий
Чеченская Республика,СКФО,545710.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,174.0,0.0,210.0,553385.0,0.0,172560.0,480520.0,0.0,-99695.0,0.04056256986311411,0.0,inf,,Низкий,Низкий
Чувашская Республика,ПФО,319348.0,24657952.5,286050.0,1596887.0,758180.0,76176.0,21940659.5,1564.0,2.0,816.0,408.0,0.0,338.0,472379.0,1702.0,91840.0,24694.0,98.0,354045.0,0.05916792965667548,1304.9877587699707,6.422419289338391,0.11725561653281792,Средний,Низкий
Чукотский автономный округ,ДФО,14238.0,69798455.0,0.0,1050000.0,6098455.0,0.0,62650000.0,27.0,0.0,16.0,4.0,0.0,7.0,2082.0,0.0,466.0,836.0,0.0,780.0,0.00584913611462284,838117.8554274736,0.01,0.007381015687317204,Низкий,Низкий
Ямало-Ненецкий автономный округ,УФО,157900.0,722408285.0,18721546.0,114866056.0,43993860.0,14931738.0,529895085.0,1989.0,20.0,1058.0,694.0,0.0,217.0,500114.0,2074.0,38860.0,33000.0,1086.0,425094.0,0.12669132362254593,36112.1806728066,0.23208730124087962,0.16390857956704888,Высокий,Низкий
Ярославская область,ЦФО,310414.0,137821919.5,1093071.0,34948005.0,10632566.0,133798.0,91014479.5,1003.0,32.0,520.0,450.0,0.0,1.0,891290.0,1440.0,491998.0,358962.0,2322.0,36568.0,0.1148517785924604,3865.7989963984787,2.168032678906211,0.21814718515520828,Высокий,Низкий
